id,name,link,status,verdict
75,Bridges,https://resy.com/cities/new-york-ny/venues/bridges,wishlist,✓ verified (200)
76,Bungalow,https://resy.com/cities/new-york-ny/venues/bungalow,wishlist,✓ verified (200)
79,Lungi,https://resy.com/cities/new-york-ny/venues/lungi,wishlist,✓ verified (200)
81,Jaba,https://resy.com/cities/new-york-ny/venues/jaba,wishlist,✓ verified (200)
87,Kochi,https://resy.com/cities/new-york-ny/venues/kochi,wishlist,✓ verified (200)
90,Jō,https://resy.com/cities/new-york-ny/venues/jo,favorite,✓ verified (200)
97,Lilia,https://resy.com/cities/new-york-ny/venues/lilia,wishlist,✓ verified (200)
98,Ilis,https://resy.com/cities/new-york-ny/venues/ilis,wishlist,✓ verified (200)
99,Tolo,https://resy.com/cities/new-york-ny/venues/tolo,wishlist,✓ verified (200)
101,Oiji Mi,https://resy.com/cities/new-york-ny/venues/oiji-mi-bom,wishlist,✓ verified (200)
106,Kono,https://exploretock.com/kono,wishlist,⚠️ Tock blocks bots — slug matches venue name
109,Omakaseed,https://exploretock.com/omakaseed,wishlist,⚠️ Tock blocks bots — slug matches venue name
124,Jeffrey's Grocery,Walk-in,wishlist,✗ NOT A URL (Walk-in)
129,Dame,Walk-in (Mon nights),wishlist,✗ NOT A URL (Walk-in (Mon nights))
134,PDT (Please Don't Tell),https://exploretock.com/pdtnyc,wishlist,⚠️ Tock blocks bots — slug matches venue name
140,Rezdôra,https://resy.com/cities/new-york-ny/venues/rezdora,wishlist,✓ verified (200)
143,Hakata Tonton,https://resy.com/cities/new-york-ny/venues/hakata-tonton,wishlist,✓ verified (200)
147,Saar,https://resy.com/cities/new-york-ny/venues/saar,loved,✓ verified (200)
149,The Musket Room,https://resy.com/cities/new-york-ny/venues/the-musket-room,loved,✓ verified (200)
150,Sushi Noz,https://exploretock.com/sushinoz,loved,⚠️ Tock blocks bots — slug matches venue name
157,Koloman,https://resy.com/cities/new-york-ny/venues/kolaman,loved,✓ verified (200)
173,Corima,https://resy.com/cities/new-york-ny/venues/corima,favorite,✓ verified (200)
174,L'Abeille,https://resy.com/cities/new-york-ny/venues/labeille,wishlist,✓ verified (200)
175,Estela,https://www.opentable.com/r/estela,wishlist,✓ browser-verified 200 (curl blocked)
178,Commerce Inn,https://resy.com/cities/new-york-ny/venues/the-commerce-inn,wishlist,✓ verified (200)
179,Txikito,https://resy.com/cities/new-york-ny/venues/txikito,wishlist,✓ verified (200)
180,La Vara,https://resy.com/cities/new-york-ny/venues/la-vara,wishlist,✓ verified (200)
181,Houseman,https://resy.com/cities/new-york-ny/venues/houseman,wishlist,✓ verified (200)
182,Hearth,https://resy.com/cities/new-york-ny/venues/hearth,wishlist,✓ verified (200)
183,Via Carota,Walk-in,wishlist,✗ NOT A URL (Walk-in)
185,Dirt Candy,https://resy.com/cities/new-york-ny/venues/dirt-candy,wishlist,✓ verified (200)
186,Nami Nori,https://resy.com/cities/new-york-ny/venues/nami-nori-west-village,wishlist,✓ verified (200)
187,Noreetuh,https://resy.com/cities/new-york-ny/venues/noreetuh,wishlist,✓ verified (200)
188,Buvette,Walk-in,favorite,✗ NOT A URL (Walk-in)
190,Sripraphai,Walk-in,wishlist,✗ NOT A URL (Walk-in)
211,Cote,https://resy.com/cities/new-york-ny/venues/cote,loved,✓ verified (200)
219,Le Coucou,https://resy.com/cities/new-york-ny/venues/le-coucou,wishlist,✓ verified (200)
222,Danji,https://resy.com/cities/new-york-ny/venues/danji,wishlist,✓ verified (200)
223,Gage & Tollner,https://resy.com/cities/new-york-ny/venues/gage-and-tollner,wishlist,✓ verified (200)
224,Don Angie,https://resy.com/cities/new-york-ny/venues/don-angie,wishlist,✓ verified (200)
225,Haenyeo,https://resy.com/cities/new-york-ny/venues/haenyeo,wishlist,✓ verified (200)
228,Soogil,https://resy.com/cities/new-york-ny/venues/soogil,wishlist,✓ verified (200)
234,Wayla,https://resy.com/cities/new-york-ny/venues/wayla,wishlist,✓ verified (200)
235,Bar Pisellino,Walk-in,wishlist,✗ NOT A URL (Walk-in)
236,Malatesta,Walk-in,wishlist,✗ NOT A URL (Walk-in)
237,Cervo's,https://resy.com/cities/new-york-ny/venues/cervos,wishlist,✓ verified (200)
239,Jua,https://resy.com/cities/new-york-ny/venues/jua,wishlist,✓ verified (200)
241,Ho Foods,Walk-in,wishlist,✗ NOT A URL (Walk-in)
242,Chef's Table at Brooklyn Fare,https://exploretock.com/chefstableatbrooklynfare,wishlist,⚠️ Tock blocks bots — slug matches venue name
243,Peasant Wine Bar,Walk-in,wishlist,✗ NOT A URL (Walk-in)
254,Noda,https://exploretock.com/noda,wishlist,⚠️ Tock blocks bots — slug matches venue name
258,Kosaka,https://exploretock.com/kosaka,wishlist,⚠️ Tock blocks bots — slug matches venue name
259,Kyo Ya,https://resy.com/cities/new-york-ny/venues/kyo-ya,wishlist,✓ verified (200)
260,Sushi Ishikawa,https://exploretock.com/sushiishikawa,wishlist,⚠️ Tock blocks bots — slug matches venue name
261,The Office of Mr. Moto,https://exploretock.com/dearmrmoto,wishlist,⚠️ Tock blocks bots — slug matches venue name
269,Aska,https://resy.com/cities/new-york-ny/venues/aska,wishlist,✓ verified (200)
271,Pranakhon,https://resy.com/cities/new-york-ny/venues/pranakhon,wishlist,✓ verified (200)
272,MayRee,https://resy.com/cities/new-york-ny/venues/mayree,wishlist,✓ verified (200)
273,Fish Cheeks,https://resy.com/cities/new-york-ny/venues/fish-cheeks,wishlist,✓ verified (200)
310,Oxomoco,https://resy.com/cities/new-york-ny/venues/oxomoco,wishlist,✓ verified (200)
313,Claro,https://resy.com/cities/new-york-ny/venues/claro-brooklyn,wishlist,✓ verified (200)
316,The Finch,https://resy.com/cities/new-york-ny/venues/the-finch,wishlist,✓ verified (200)
320,Olmsted,https://resy.com/cities/new-york-ny/venues/olmsted,wishlist,✓ verified (200)
330,Clover Hill,https://resy.com/cities/new-york-ny/venues/clover-hill,wishlist,✓ verified (200)
